Store,Aug-23,Sept-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sept-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,Total,Total 2
R01-A03-Wah Fu 1,1,,,,,,,,,1,,,,,,,1,,,,1,1,2
R01-A03-Wah King,,,1,,1,,,,,1,1,,1,,1,,1,1,1,1,,5,5
R01-A03-Westwood,1,2,1,4,1,,1,,,2,4,2,4,6,1,,1,1,1,,1,21,11
R01-A03-Wing Hing House,1,,,,,,,,1,1,1,,,2,,3,,,,1,,3,6
R01-A04-Aldrich Garden,,,,,,,,,,,,,,,,,,,,,,0,0
R01-A04-Fung Wah,1,1,,,,1,2,2,,,,,,,,,,,,1,,6,1
R01-A04-Harmony Place,,1,2,1,,,1,1,,1,1,,,,3,,,1,,,2,8,6
R01-A04-Hing Wah,,,,,1,,,,,,,,,,,,,,,,,1,0
R01-A04-Ko Way 2,2,,1,1,,,,,1,,,,,1,,,,,,,1,3,2
R01-A04-Perfect Mount,,1,,,,,,,,1,,,,,,,,,,,,2,0
R01-A04-Siu Sai Wan 2,1,1,,,2,2,2,,1,1,,,1,,,,1,,,2,1,10,4
R01-A04-Sun Sing,2,,2,1,,,2,,1,3,,,2,,,,,,1,1,1,11,3
R01-A04-Tai On Building,,,,,1,,,,,,,,,1,,,,,,,,1,1
R01-A04-Tai Shan,,,,,,,,,,3,,,5,,,,3,,,,2,8,5
R01-A04-Upper East,,,,,,,,,,1,,,,,,,,,3,,,1,3
R01-A04-Wan Tsui,,,,,,,,,,,,,,,,,,,,,,0,0
R01-A04-Winner,,2,2,,7,1,2,1,,,,1,3,1,2,,2,,3,3,1,19,12
R01-A04-Yiu Tung 2,2,,1,,,,,,,1,,,,1,,,,1,,,,2,2
R02-A05-Beverly Garden,1,,,1,,,,,,,,1,,,,,,,,,,2,0
R02-A05-Choi Hung,4,3,1,3,2,2,1,1,1,1,1,2,1,2,,3,1,1,1,1,1,19,10
R02-A05-Choi Ming 3,1,1,,1,,,,,1,2,,3,3,1,1,2,,1,2,1,,11,8
R02-A05-Choi Wan,,,1,,,1,,1,1,2,,1,1,,1,,,,1,,,8,2
R02-A05-Chui Tong,,,3,,2,2,3,4,1,2,2,2,2,1,1,1,,3,,1,,23,7
R02-A05-Infinity 8,,2,,1,3,,1,1,3,,1,1,1,2,,,1,,1,,1,14,5
R02-A05-Maritime Bay,2,2,,1,,2,,,1,,,,,2,,,,,,1,1,6,4
R02-A05-MCP Discovery,,1,,,1,,2,,1,2,1,,,1,,,,,,,,8,1
R02-A05-Papillons Square,,,,,,,,1,,,,,1,,,,,,,,,2,0
R02-A05-Popwalk,2,,1,,,,,,,,,,,,2,,,,,,,1,2
R02-A05-Richland Gardens,1,,,,,,,,,2,1,1,1,,1,,1,,1,,1,5,4
R02-A05-Sai Kung Building,,1,,,,1,,1,,1,,,1,1,,,1,,,,,5,2
R02-A05-Sau Mau Ping Plaza,,,,,,,1,,,,,,,,,,,,,,,1,0
R02-A05-Shun Tin,,1,,,1,1,1,,,,1,2,,,1,,,,,,,7,1
R02-A05-Well On Garden,2,,,,,1,,1,,1,,,2,1,,,3,,,,,5,4
R02-A06-Dor Hei Building,,,,,,,,,,,,,,,,,,,,,,0,0
R02-A06-Fu Shan Estate,2,,,,1,,,1,,,,,,,,,,,,1,,2,1
R02-A06-Garden Estate,1,,,,,,,,,,,,,,,,,1,,,,0,1
R02-A06-Hing Tin 2,1,,,1,1,2,,,,2,1,,2,,1,,,,2,1,,9,4
R02-A06-Kwong Tin,1,1,,1,2,1,,1,,2,,1,1,,1,,1,,,,,10,2
R02-A06-Kwun Tong,5,,2,1,,2,1,,,,,1,2,,,,,,2,2,1,9,5
R02-A06-Lam Tin,,,,,,,,,,,,,,,,1,,,,,,0,1
R02-A06-Lei Yue Mun Plaza,1,1,1,1,,1,1,,,,,,1,,,,,1,1,1,,6,3
R02-A06-Lung Poon Court,3,3,,1,2,2,3,1,1,,1,,1,1,2,,1,,2,1,1,15,8
R02-A06-On Kay,,,,1,,,1,1,,1,,,,,2,1,,,,,2,4,5
R02-A06-Ping Tin 2,,,2,,,,,,,,,1,,,,,,,,,,3,0
R02-A06-Sceneway Plaza,,,,,,,,,,,,,,,,1,,,,,,0,1
R02-A06-Sun Lai,,,2,1,,,1,,1,,,,,,,,2,,,,,5,2
R02-A06-Tak Bo Garden 2,1,,,,,,,1,,1,,1,1,,,,,,,,,4,0
R02-A06-Tsui Ping 2,1,,,,1,2,,,,,,,,1,,,1,,,1,2,3,5
R02-A06-Tze Wan Shan 1,3,2,,1,,,,,2,,,,,1,,,1,1,,,,5,3
R02-A07-Austin Road,,,,,,,1,,,,,1,,1,,,2,,1,,,2,4
R02-A07-Chevalier House,2,1,1,,2,2,,2,2,,1,1,8,3,2,2,1,,2,1,,20,11
R02-A07-Chung Hwa Plaza,,,1,,1,,1,,,,,,,2,1,,,,1,,1,3,5
R02-A07-Empress Plaza,,,,,,,,,,,,,,,,,,,,,,0,0
R02-A07-Far East,,,,,,,,,,,,,,,,,,,,,,0,0
R02-A07-Grand Waterfront,,,,,,,,,1,,,,,,,,,,,,,1,0
R02-A07-Hung Hom,,,,,,,,,,,,1,1,,,,,,,,,2,0
R02-A07-Hung Hom Centre,,5,1,1,2,,3,,1,,1,2,2,2,,,,,,1,,18,3
R02-A07-Jordan Road 2,,1,2,1,,,,1,1,1,,,1,1,1,,,2,,,2,8,6
R02-A07-Kimberley Road,,1,,,,,,,1,,,,,,,,,,,,,2,0
R02-A07-Ma Tau Kok Road,2,,1,2,,2,2,,,,,1,3,2,,1,1,,1,1,,11,6
R02-A07-Tak Man,,1,,,3,,1,,,,,,,1,,,,,1,,,5,2
R02-A07-Tokwawan 2,2,,,,,,,,,,,3,1,,1,1,,,,,,4,2
R02-A07-Wearbest,3,3,7,2,1,,2,2,,,1,4,9,2,,,,4,1,1,1,31,9
R02-A08-Cite 33,,1,,,,,,,,2,,,,,,,,,,,1,3,1
R02-A08-Lai Chi Kok,,,,,1,,,1,2,1,,2,1,1,,1,2,,,2,1,8,7
R02-A08-Metro Harbour Plaza,,,,,,,,,,,,,,,,,,,,,,0,0
R02-A08-Nathan Road,,,,,,,,1,2,,1,1,2,1,,,,,,,1,7,2
R02-A08-Prosperity Court,1,1,,,1,2,,,,,,,1,,,2,,,,2,,5,4
R02-A08-Prosperous Garden,1,,,,,1,,,,,,,,,,1,1,,1,,,1,3
R02-A08-Shanghai Street,1,,1,,1,,1,2,1,,1,,1,,,,,,1,1,,8,2
R02-A08-Shek On Building,,,,,,,,1,2,1,,,,1,,2,,,2,,,4,5
R02-A08-Sim City,,2,4,3,,1,1,2,1,1,1,,1,,2,,,1,,1,,17,4
R02-A08-Tai Kok Tsui,,,,,,,,,,,,,,,,,,,,,2,0,2
R02-A08-Tai Tung,,,,,,,,1,,,,,,,,,,,1,1,,1,2
R02-A08-Yan On Building,1,,5,1,3,,3,2,2,1,,5,3,2,2,1,1,,,1,7,25,14
R02-A08-Yaumatei,,2,,1,,,,,,,1,,,,,,,1,1,,,4,2
R02-A09-Beacon Heights,1,1,1,,1,,,1,,4,,4,3,,4,1,,,1,,,15,6
R02-A09-Cambridge Court,2,,,,,,,,,,,,,,,1,,,1,,1,0,3
R02-A09-Chuk Yuen,,,,1,,,,,,,,1,1,,,,1,,,,,3,1
R02-A09-Chun Seen Mei,1,,2,1,,,,,,,,,,,,2,,1,,,,3,3
R02-A09-Fair Way Garden,,,,,,,,,,,,,,,,,,,,,,0,0
R02-A09-Fung Wong,1,,,,1,,,,,1,1,,,3,2,,1,1,1,3,1,3,12
R02-A09-Hoi Fu Court,1,,,,1,1,,3,1,,1,,1,,,,1,,,1,,8,2
R02-A09-Jade Mansion,2,3,,,,,,,4,1,1,3,1,,2,1,2,4,3,1,1,13,14
R02-A09-Kam Wing,,1,,2,,,1,2,,,,,,,1,1,1,,1,1,1,6,6
R02-A09-Lion Rock Road,2,1,,1,1,2,,,3,3,1,2,,1,,,1,,,,,14,2
R02-A09-Mongkok Building,,,,,,,,,,,,,,,,,,,,,,0,0
R02-A09-Ning Yuen Street,,,,,,,,,,,,,,,1,,,,,,1,0,2
R02-A09-Prince Edward,,2,,,,,,1,,1,1,,1,,1,,,,,,,6,1
R02-A09-Tin Ma,1,,,,,,,1,,3,2,,1,1,,,,,,,2,7,3
R02-A09-Tsui Chuk Garden,15,4,4,1,1,2,5,1,,3,,1,3,,1,,3,1,4,3,,25,12
R02-A09-Tung Tau Estate,2,,,,,,,,,1,,,,,,,,,,,,1,0
R03-A10-Apollo Building,,,,1,1,,,,,2,,1,1,,,1,,,2,,,6,3
R03-A10-Golden Centre,1,6,1,,1,2,3,2,2,5,2,5,,1,,,,,,,,29,1
R03-A10-Golden Hill,,1,,1,1,,,,,,,,,1,,,,,,1,,3,2
R03-A10-Lai Tsui Court,,1,,,,1,1,,,2,3,1,3,,,,1,,1,,,12,2
R03-A10-Mei Foo,,,,,,,1,1,,,,1,2,2,,1,1,,1,4,1,5,10
R03-A10-Mei Foo 2,4,,,,,,1,,1,1,,1,,1,,,,,1,,,4,2
R03-A10-Nam Cheong Estate,,2,4,3,3,3,2,2,1,,1,1,,4,2,1,,1,,,,22,8
R03-A10-Nam Cheong Place,1,,,,,,2,1,,,,1,,,1,,,,,,,4,1
R03-A10-Nam Cheong Street,1,,2,,,,,1,,1,,1,1,,,,,,,,,6,0
R03-A10-Pak Tin Estate,,1,,1,,,,,,1,,,,1,1,,1,,1,,1,3,5
R03-A10-Rondall Building,,,,,1,,1,1,,,,1,1,,,,3,,,,,5,3
R03-A10-Shamshuipo,,2,,,,1,,3,,,1,,,,3,,1,,,,,7,4
R03-A10-Shun Ning Road,,,,,,,,,,,,,,,,,,,,,,0,0
R03-A10-Tai Hang Tung,2,,2,,1,1,1,1,,1,1,,,2,1,,1,3,1,1,,8,9
R03-A10-Un Chau 2,,2,,,,,,,1,1,,,,,1,2,1,2,,,,4,6
R03-A10-Yin Lai Court,1,,,,,,,1,1,,,,,,,,,,,,,2,0
R03-A11-Kwai Chung,1,,1,,,,,,,,,,,,,2,,,,,,1,2
R03-A11-Kwai Fong,,,,,,,,,,,,,1,,,,,,,,,1,0
R03-A11-Kwai Hing,,1,,,,,,1,2,,1,,2,,,,3,,,1,1,7,5
R03-A11-Kwai Shing 2,,,,,1,,,,,,,,,,,,,,,,,1,0
R03-A11-Kwai Shing West,,,,,,,,,,,,,,,,,,,,1,1,0,2
R03-A11-Lei Muk Shue 2,,,,,,,,,,3,,2,3,,,,,,,,3,8,3
R03-A11-Nina Mall,1,,2,1,2,1,1,1,,2,,1,2,1,1,,1,3,,1,1,13,8
R03-A11-On Yam,,,,,,,,,,,,,,,,,,,1,,,0,1
R03-A11-Riviera Garden,1,2,,2,1,,1,,,,2,,3,2,,,1,,,1,3,11,7
R03-A11-Shek Lei,1,,,,1,,1,,,1,,,,2,,1,1,1,,,1,3,6
R03-A11-Shek Lei II,,2,1,,,,,,,,,1,,1,,1,,1,,,1,4,4
R03-A11-Shek Wai Kok,2,2,1,1,1,,5,1,3,,,2,6,1,2,1,,3,3,5,2,22,17
R03-A11-Shek Yam,,,,,2,,1,,,,1,,3,,,,,1,1,,,7,2
R03-A11-Sun Kwai Hing,1,,1,2,,,1,2,,1,,,2,,1,,,,,,,9,1
R03-A11-Tai Wo Hau,,2,1,,1,1,,1,1,1,1,,1,1,1,1,2,,,,,10,5
R03-A11-Waldorf Centre,,,1,1,,1,2,,2,2,,,,1,,,,1,1,,,9,3
R03-A11-Wo Yi Hop Road,,,,1,,,2,1,,,1,5,,1,1,1,,,,,,10,3
R03-A12-Allway Gardens,1,,,,1,,,,,,,,,1,,,,,,,,1,1
R03-A12-Broadview Garden,,1,1,,,1,,1,,2,,,,1,1,,,1,,,1,6,4
R03-A12-Cheung Ching,,,,1,,,,,,,,,,,,,,,2,,,1,2
R03-A12-Cheung Hang,3,5,1,2,2,1,,1,1,1,1,,,2,2,3,,,,2,,15,9
R03-A12-Cheung Hong,1,1,1,,,,,,2,1,,2,,,,,,,,,,7,0
R03-A12-Emperor Plaza 2,,,,,,,,,,,,,,,,,,,,,,0,0
R03-A12-Indi Home,1,,,1,,1,,,,,1,1,2,,,1,2,1,,,1,6,5
R03-A12-Mayfair Gardens,1,1,,2,,1,,,,1,2,1,2,2,2,1,2,,,1,,10,8
R03-A12-Sham Tseng,1,1,,,1,,,,,2,1,,,,,,,1,,,,5,1
R03-A12-The Panorama,,,,,,,,,,,,,,,1,,,1,,,1,0,3
R03-A12-Tivoli Garden 2,,,,,,,,,,,,,,1,,1,,,,,,0,2
R03-A12-Tsing Yi,2,,1,,,,2,,,,,,1,,1,,,,,,1,4,2
R03-A12-Tsuen Wan,,,,,,,,,,,,1,1,,,,,,,1,,2,1
R03-A12-Tsuen Wan Centre,1,2,,1,,,1,,,,1,,3,,,,,,1,,,8,1
R03-A12-Yat Tung,2,1,3,,,,,1,1,,,1,,,,1,,,1,,,7,2
R03-A12-Ying Tung,,,,,,,1,1,,,,,,,,,,,2,,1,2,3
R03-A13-Butterfly,2,,,,1,,,,3,,1,,,,,1,,,2,,,5,3
R03-A13-Chi Lok,,,,,,,,,1,,1,,,,,,,,,1,1,2,2
R03-A13-Glorious Garden,,1,,,,3,1,,1,,1,,,1,,2,,1,,1,,7,5
R03-A13-Hanford Garden,1,2,,,,,,,1,,,,,1,,4,,,1,1,1,3,8
R03-A13-Hong Lai,,1,1,1,,,,1,,,,,,,,,,,,,3,4,3
R03-A13-Oceania Heights,,,,,,,,,,,,,,,,,,,,,,0,0
R03-A13-On Ting,1,,,,,,2,,,,,1,1,1,,,,,,,,4,1
R03-A13-Shan King 2,1,,3,,1,,,1,,,3,,6,1,1,,,,,,,14,2
R03-A13-Siu Lun Court,,1,,,,,,,,,,2,,,,,,,,,,3,0
R03-A13-Tai Hing,1,,1,1,,,,1,,,,,,,,2,,,1,,,3,3
R03-A13-Tai Hing Garden 1,2,1,3,1,3,,3,1,3,2,,2,3,1,2,2,1,3,1,1,,22,11
R03-A13-Trend Plaza 2,,1,1,,,1,1,,,,,,2,,,,,,1,,1,6,2
R03-A13-Yan Ching Street,1,,,,1,,,,,4,3,3,2,,1,,1,1,1,2,,13,6
R04-A14-Chung On Estate,,,,1,,1,,,1,1,3,4,4,,1,1,2,1,,2,1,15,8
R04-A14-Fu Shin Estate,,1,,,1,,,,,,,1,,1,,,1,,,,,3,2
R04-A14-Heng On,,,,,,,1,1,,,,,,,,,,,,1,,2,1
R04-A14-Kam Tai 2,,1,1,1,1,1,,1,1,1,1,1,2,4,2,,,,,2,1,12,9
R04-A14-Kam Ying,,,,1,,,,,,,2,1,2,,1,,,1,,,,6,2
R04-A14-Kwong Fuk Road,,1,,,,,,,,,,1,,,,,,,,,,2,0
R04-A14-Lake Silver,,,,1,1,,,,,,1,,1,,,,,,,1,2,4,3
R04-A14-Richwood Park,,,1,,1,1,,,,1,,,,,,1,,,,1,,4,2
R04-A14-Saddle Ridge Garden,,1,1,,,2,,,,,,,,1,,,1,,2,1,,4,5
R04-A14-Shek Mun,4,,,,1,,1,,,,,,1,,,,,,,,,3,0
R04-A14-Shek Mun Estate,3,,1,,,1,,,2,,1,,1,2,1,,1,1,1,,,6,6
R04-A14-Sun Hing Garden,1,1,,1,,,,,,,,,,,,1,,,,1,1,2,3
R04-A14-Tai Kwong Lane,,1,,,,,2,,,,,,,,,2,,2,,,2,3,6
R04-A14-Tai Po Kwong Fuk,,,4,,,,1,,2,2,1,,1,2,1,2,,,,1,,11,6
R04-A14-Tai Po Plaza,3,1,2,1,,,,3,,,,1,1,1,,,1,,2,1,2,9,7
R04-A14-Wan Tau Tong 2,1,1,,,,,,,,,1,,3,,,,2,,1,1,1,5,5
R04-A14-Waterside,1,,2,,,,1,,,,,,1,2,1,,2,,,,,4,5
R04-A15-Chun Shek,1,,,,,,,,1,1,,,2,,1,,,,,1,,4,2
R04-A15-Fo Tan,2,2,3,,,,,,,,,,1,,1,1,,,,,,6,2
R04-A15-Kwong Yuen,,,,,,,,1,,,,,,,,,,,,,,1,0
R04-A15-Lek Yuen,,,,,,,,,,,,,,,,,,,,,,0,0
R04-A15-Lung Hang 2,2,,,,,,1,,,,,,1,,,,2,,,,,2,2
R04-A15-Mei Lam,,,,,,1,,,,,,,1,,,,,,2,,,2,2
R04-A15-Mei Tin,,,,,,,,,,,,,,,,,,,,,,0,0
R04-A15-Pok Hong,3,,1,2,,,2,2,1,,,1,1,1,,,1,2,,2,1,10,7
R04-A15-Sha Kok 2,,,,,,,,,,,,,,1,1,,,,,2,,0,4
R04-A15-Shui Chuen O,,,,,,,,,,,,,,,,,,,,,,0,0
R04-A15-Wo Che,,,,,,,,,,,,,,,,,,,,,,0,0
R04-A15-Yi Shing Square,,,,1,,,,,,,,,,1,1,,,,,,,1,2
R04-A15-Yue Tin Court,,,,,,,,,,,,,,,,,,,,1,,0,1
R04-A15-Yuet On,2,,1,,,,2,1,,1,,,,,,,1,1,,1,,5,3
R04-A16-Avon Park,3,1,2,1,,,,,,,,,2,3,,1,1,,2,1,1,6,9
R04-A16-Cheung Wah,1,,3,,1,1,4,,1,,,,1,,,1,1,,,,,11,2
R04-A16-Choi Yuen 2,,1,,1,,,,4,,1,,1,2,2,,1,3,,,,1,10,7
R04-A16-Fanling Centre,,,,,,,,,,,,,,,,,,,,,,0,0
R04-A16-Flora Plaza,,,,,,,,,,,,,,,,,,,,,,0,0
R04-A16-Regentville,,1,,,,2,1,,,,2,,,,2,1,,,,1,,6,4
R04-A16-San Fung,,1,,,,,,1,1,,,1,1,,,,,,1,,,5,1
R04-A16-San Fung 3,1,,,,,1,1,,,,,,,,,,,1,,1,,2,2
R04-A16-San Hong Street,,,,,,,,1,1,1,,,1,,2,,,1,,1,,4,4
R04-A16-Sheung Shui,,,,,,,,,,,,,,,,,,,,,,0,0
R04-A16-Tsui Lai Garden,,,1,2,1,,1,1,2,3,,,1,,,2,,,1,,,12,3
R04-A16-Union Plaza,3,,2,,,,,,,,,1,1,1,,,,,,,,4,1
R04-A17-Cheung Fat,2,,,,2,,,,,2,,,,,,,,,,,,4,0
R04-A17-Golden Plaza 1,,1,,,2,,,,,3,,,,,,,,,,2,2,6,4
R04-A17-Hop Yick,,2,,,,,2,,,1,,,,2,,,,,,3,,5,5
R04-A17-Kam Tin,,,,,,,,,,,,,,,,,,,,,,0,0
R04-A17-Kar Shing,,,,,,1,,1,,,,2,,,,,,,,,,4,0
R04-A17-Koon Wong Mansion,,,,,1,,,,,,,,,,,,,,,,,1,0
R04-A17-Kwong Wah,1,1,1,,1,,,,,1,2,,,,,1,,,,,,6,1
R04-A17-Lok Ma Chau,6,3,3,3,,,1,1,2,3,,3,4,2,1,1,3,4,2,3,3,23,19
R04-A17-Park Reach,1,1,1,1,,,,1,1,,,3,,,,,1,1,2,1,1,8,6
R04-A17-Ping Wui Centre,,1,,,,,,,,,,,,,,,,,,,,1,0
R04-A17-Po Shing,2,,1,,,,1,,1,,,,1,,3,,,,,,2,4,5
R04-A17-Sha Tau Kok,,,1,1,,,,,2,2,1,,1,3,,1,,2,4,1,,8,11
R04-A17-Yuccie Square,3,2,,,4,1,2,3,1,,,,,,,,,,,,,13,0
R04-A18-Aster Court,,,1,,2,,,,,1,2,1,,,,,,1,1,,,7,2
R04-A18-Chestwood Court,,,,,,,,,,1,,,,1,1,,,,,,,1,2
R04-A18-Ching Tin,,1,,1,,,2,,,,1,,1,,,,,,1,1,,6,2
R04-A18-Kin Sang,3,,,1,,,,,,,1,1,2,,,,,,,,,5,0
R04-A18-Lam Tei 2,2,1,1,1,,1,1,,,1,,,1,,,,1,,,,2,7,3
R04-A18-Leung King 2,1,,3,,1,,,,1,,1,,2,,,,,,,2,1,8,3
R04-A18-Long Ping 2,,,,1,1,,,,,,1,1,,,,,1,1,1,1,,4,4
R04-A18-Ping Yan,3,4,,,1,2,1,1,1,1,1,1,1,,2,1,1,,,6,3,14,13
R04-A18-Sun Hui,,,1,,1,,,,,,,1,,1,,,1,,,,,3,2
R04-A18-Tin Chak,6,1,,2,,,,,,3,,1,1,,,,,2,,2,1,8,5
R04-A18-Tin Ching,,,,,,,,,,,,,,,,,,,,,,0,0
R04-A18-Tin Tsz 2,,,9,1,,,7,1,,,5,1,2,1,2,1,,,,1,1,26,6
R04-A18-Treasure Court,3,,,,,2,1,,1,,1,1,3,,2,,,1,1,1,1,9,6
R05-A19-Caine Road - MP,3,1,2,,,,1,,1,,,1,,,,,1,,2,1,,6,4
R05-A19-Central,2,,,,1,,2,,,,,,,,,,,,,,,3,0
R05-A19-Central House - MP,,,,,,,1,,,,,,1,,,,1,,,,,2,1
R05-A19-Elements - 3hreesixty,,,,,,,,,,,,,,,,,,,,,,0,0
R05-A19-Island Crest - MP,,,,,,,,,,,,,,,,,,,,,,0,0
R05-A19-Jardine House - MPJ,,,,,,,,,,1,,2,,3,1,1,,,1,2,,3,8
R05-A19-May Road - MP,,1,,1,1,2,,1,1,,1,,,,,1,,,,1,,8,2
R05-A19-Nexxus Building - MP,1,2,,1,1,,,,1,,,,3,2,1,,,,,3,,8,6
R05-A19-Peak - MP,3,,,4,,1,1,,,1,,,1,,,,1,,1,1,2,8,5
R05-A19-Prince Building - Oliver's,,1,2,,,,1,,2,2,1,,2,1,2,1,,1,,,1,11,6
R05-A19-Seymour Terrace - MP,3,1,2,1,1,,2,2,,2,2,1,1,2,1,,,,,,3,15,6
R05-A19-Victoria Road,,,,1,,,2,1,,,1,,1,,1,,,1,,,,6,2
R05-A19-Watford Road,,,2,,,,,,,,,,2,,,1,,,1,,,4,2
R05-A20-Double Cove - MPJ,,,,,,,,,,,,,,,,,,,,,,0,0
R05-A20-iSquare - MPJ,,,1,,1,,,1,,,,,1,,,,,,,,,4,0
R05-A20-K11 - MP,,,2,,,2,1,,1,1,1,4,2,2,3,,,,2,,,14,7
R05-A20-Langham Place - MP,,,1,,,3,1,2,,,2,2,1,1,1,2,,,,3,,12,7
R05-A20-Olympian City 1 - MP,,,,,,2,,,,,,,,2,,,1,,,,,2,3
R05-A20-Olympian City 2 - MP,1,2,2,1,3,1,3,3,,5,3,3,6,,5,,,3,4,5,2,32,19
R05-A20-Sunshine City Plaza - MP,1,3,,,,1,,,,,,,,,,,1,,,1,1,4,3
R05-A20-Surson Building - MP,,,,,,,,,,,,,,,,,,1,,,,0,1
R05-A20-Tai Wai Mall - MP,,2,,1,,,1,,,,1,2,2,1,2,2,,,,,,9,5
R05-A20-The Palazzo - MP,1,4,1,,1,1,,2,,4,,,1,1,1,,1,,,,1,14,4
R05-A20-Victoria Dockside - MP,2,1,1,,,1,,1,,1,2,,,,,,,,,2,,7,2
R05-A21-Capitol Centre - MP,1,1,1,,,,,,3,,,,,,,,3,,1,,,5,4
R05-A21-Chung Hom Kok,,3,,,,2,1,,,,,,,,,1,2,,,1,1,6,5
R05-A21-Cloudview Road - MP,,1,,,,,1,,,,,,,,,,,,,,,2,0
R05-A21-Johnston Road,,1,,1,,,,,,,,,,,,,,,,,1,2,1
R05-A21-Kornhill,,,,,1,,,1,,1,1,,,,,,,,,,1,4,1
R05-A21-Perkins Road - MP,,,,,,,1,,,,,,,,,,,,,,1,1,1
R05-A21-Redhill Plaza,,1,1,,1,,,,1,2,4,,1,2,1,,,,1,1,,11,5
R05-A21-Repulse Bay Arcade - MP,1,,,,,,,,,,1,,,1,,,,1,,,,1,2
R05-A21-Stanley Plaza - 3hreesixty,4,3,,,,1,2,,1,2,1,1,3,,,,1,,3,2,1,14,7
R05-A21-Tin Hau - MP,1,1,1,1,,,,,,,,,1,,,,2,,,,,4,2
R05-A22-Julimount Garden,,,1,2,,,,,,1,,1,,,,,,1,,,1,5,2
R05-A22-Lions Rise - MP,,1,,,,,2,,3,,,1,,1,,,,,,,,7,1
